Class,Accuracy (%),Sample Count
Bali_Barong,100.0,152
Bali_Merak,100.0,150
Jakarta_OndelOndel,99.3421052631579,152
Jakarta_Tumpal,97.35099337748345,151
JawaBarat_Megamendung,94.0,150
JawaTengah_Arumdalu,100.0,152
JawaTengah_AsemArang,99.33774834437085,151
JawaTengah_AsemSinom,100.0,151
JawaTengah_AsemWarak,100.0,151
JawaTengah_Blekok,100.0,151
JawaTengah_BlekokWarak,100.0,151
JawaTengah_CindeWilis,100.0,152
JawaTengah_Cipratan,100.0,152
JawaTengah_GambangSemarangan,100.0,151
JawaTengah_IkanKerang,100.0,152
JawaTengah_JagungLombok,100.0,152
JawaTengah_JambuBelimbing,99.3421052631579,152
JawaTengah_JambuCitra,100.0,152
JawaTengah_JayaKusuma,100.0,152
JawaTengah_Jlamprang,98.02631578947368,152
JawaTengah_KembangSepatu,100.0,151
JawaTengah_Kemukus,100.0,154
JawaTengah_Laut,100.0,151
JawaTengah_LurikSemangka,100.0,152
JawaTengah_MasjidAgungDemak,100.0,151
JawaTengah_Mawur,100.0,152
JawaTengah_Naga,100.0,152
JawaTengah_ParangKusumo,98.01324503311258,151
JawaTengah_ParangSlobog,98.01324503311258,151
JawaTengah_Rengganis,100.0,152
JawaTengah_SariMulat,100.0,152
JawaTengah_Semarangan,100.0,150
JawaTengah_Sidoluhur,97.35099337748345,151
JawaTengah_Sritaman,100.0,152
JawaTengah_TanjungGunung,100.0,152
JawaTengah_TebuBambu,100.0,152
JawaTengah_Tembakau,100.0,151
JawaTengah_Truntum,93.37748344370861,151
JawaTengah_TruntumKurung,100.0,152
JawaTengah_TuguMuda,99.33774834437085,151
JawaTengah_WarakBerasUtah,100.0,151
JawaTengah_WorawariRumpuk,100.0,152
JawaTengah_Yuyu,100.0,152
JawaTimur_Gentongan,100.0,150
JawaTimur_Pring,98.66666666666667,150
KalimantanBarat_Insang,100.0,151
Kalimantan_Dayak,100.0,150
Lampung_Bledheg,100.0,152
Lampung_Gajah,100.0,153
Lampung_KacangHijau,100.0,151
Maluku_Pala,100.0,150
NTB_Lumbung,100.0,150
Papua_Asmat,99.33333333333333,150
Papua_Cendrawasih,99.33774834437085,151
Papua_Tifa,100.0,150
SulawesiSelatan_Lontara,98.0,150
SumateraBarat_RumahMinang,100.0,150
SumateraUtara_Boraspati,97.33333333333334,150
SumateraUtara_PintuAceh,99.33333333333333,150
Yogyakarta_Brendi,100.0,152
Yogyakarta_CakarAyam,88.0,150
Yogyakarta_CeplokLiring,100.0,152
Yogyakarta_Gendhangan,100.0,152
Yogyakarta_JayaKirana,100.0,152
Yogyakarta_Karawitan,100.0,152
Yogyakarta_Kawung,94.70198675496688,151
Yogyakarta_KlampokArum,100.0,152
Yogyakarta_KuncupKanthil,100.0,152
Yogyakarta_Manggar,100.0,152
Yogyakarta_ParangBarong,88.0,150
Yogyakarta_ParangCurigo,100.0,152
Yogyakarta_ParangRusak,92.05298013245033,151
Yogyakarta_ParangTuding,99.3421052631579,152
Yogyakarta_SekarAndhong,100.0,152
Yogyakarta_SekarBlimbing,100.0,152
Yogyakarta_SekarCengkeh,100.0,152
Yogyakarta_SekarDangan,100.0,152
Yogyakarta_SekarDhuku,100.0,152
Yogyakarta_SekarDlima,100.0,152
Yogyakarta_SekarDuren,100.0,152
Yogyakarta_SekarGambir,100.0,152
Yogyakarta_SekarGayam,100.0,152
Yogyakarta_SekarJagung,100.0,152
Yogyakarta_SekarJali,100.0,152
Yogyakarta_SekarJeruk,100.0,152
Yogyakarta_SekarKeben,100.0,152
Yogyakarta_SekarKemuning,100.0,152
Yogyakarta_SekarKenanga,100.0,152
Yogyakarta_SekarKenikir,100.0,152
Yogyakarta_SekarKenthang,100.0,152
Yogyakarta_SekarKepel,100.0,152
Yogyakarta_SekarKetongkeng,100.0,152
Yogyakarta_SekarLintang,100.0,152
Yogyakarta_SekarManggis,100.0,152
Yogyakarta_SekarMenur,100.0,152
Yogyakarta_SekarMindi,100.0,152
Yogyakarta_SekarMlathi,100.0,152
Yogyakarta_SekarMrica,100.0,152
Yogyakarta_SekarMundhu,100.0,152
Yogyakarta_SekarNangka,100.0,152
Yogyakarta_SekarPacar,100.0,152
Yogyakarta_SekarPala,100.0,152
Yogyakarta_SekarPijetan,100.0,152
Yogyakarta_SekarPudhak,100.0,152
Yogyakarta_SekarRandhu,100.0,152
Yogyakarta_SekarSawo,100.0,152
Yogyakarta_SekarSoka,100.0,152
Yogyakarta_SekarSrengenge,100.0,152
Yogyakarta_SekarSrigadhing,100.0,152
Yogyakarta_SekarTanjung,100.0,152
Yogyakarta_SekarTebu,99.3421052631579,152
