Class,Accuracy (%),Sample Count
Bali_Barong,100.0,11
Bali_Merak,100.0,10
Jakarta_OndelOndel,100.0,11
Jakarta_Tumpal,90.9090909090909,11
JawaBarat_Megamendung,100.0,10
JawaTengah_Arumdalu,100.0,11
JawaTengah_AsemArang,100.0,11
JawaTengah_AsemSinom,100.0,11
JawaTengah_AsemWarak,100.0,11
JawaTengah_Blekok,100.0,11
JawaTengah_BlekokWarak,100.0,11
JawaTengah_CindeWilis,100.0,11
JawaTengah_Cipratan,100.0,11
JawaTengah_GambangSemarangan,100.0,11
JawaTengah_IkanKerang,100.0,11
JawaTengah_JagungLombok,100.0,11
JawaTengah_JambuBelimbing,100.0,11
JawaTengah_JambuCitra,100.0,11
JawaTengah_JayaKusuma,100.0,11
JawaTengah_Jlamprang,100.0,11
JawaTengah_KembangSepatu,100.0,11
JawaTengah_Kemukus,100.0,11
JawaTengah_Laut,100.0,11
JawaTengah_LurikSemangka,100.0,11
JawaTengah_MasjidAgungDemak,100.0,11
JawaTengah_Mawur,100.0,11
JawaTengah_Naga,100.0,11
JawaTengah_ParangKusumo,90.9090909090909,11
JawaTengah_ParangSlobog,100.0,11
JawaTengah_Rengganis,100.0,11
JawaTengah_SariMulat,100.0,11
JawaTengah_Semarangan,100.0,10
JawaTengah_Sidoluhur,100.0,11
JawaTengah_Sritaman,100.0,11
JawaTengah_TanjungGunung,100.0,11
JawaTengah_TebuBambu,100.0,11
JawaTengah_Tembakau,100.0,11
JawaTengah_Truntum,100.0,11
JawaTengah_TruntumKurung,100.0,11
JawaTengah_TuguMuda,100.0,11
JawaTengah_WarakBerasUtah,100.0,11
JawaTengah_WorawariRumpuk,100.0,11
JawaTengah_Yuyu,100.0,11
JawaTimur_Gentongan,100.0,10
JawaTimur_Pring,100.0,10
KalimantanBarat_Insang,90.9090909090909,11
Kalimantan_Dayak,100.0,10
Lampung_Bledheg,100.0,11
Lampung_Gajah,100.0,11
Lampung_KacangHijau,100.0,11
Maluku_Pala,100.0,10
NTB_Lumbung,100.0,10
Papua_Asmat,100.0,10
Papua_Cendrawasih,100.0,11
Papua_Tifa,100.0,10
SulawesiSelatan_Lontara,100.0,10
SumateraBarat_RumahMinang,100.0,10
SumateraUtara_Boraspati,90.0,10
SumateraUtara_PintuAceh,100.0,10
Yogyakarta_Brendi,100.0,11
Yogyakarta_CakarAyam,90.0,10
Yogyakarta_CeplokLiring,100.0,11
Yogyakarta_Gendhangan,100.0,11
Yogyakarta_JayaKirana,100.0,11
Yogyakarta_Karawitan,100.0,11
Yogyakarta_Kawung,100.0,11
Yogyakarta_KlampokArum,100.0,11
Yogyakarta_KuncupKanthil,100.0,11
Yogyakarta_Manggar,100.0,11
Yogyakarta_ParangBarong,80.0,10
Yogyakarta_ParangCurigo,100.0,11
Yogyakarta_ParangRusak,90.9090909090909,11
Yogyakarta_ParangTuding,100.0,11
Yogyakarta_SekarAndhong,100.0,11
Yogyakarta_SekarBlimbing,100.0,11
Yogyakarta_SekarCengkeh,100.0,11
Yogyakarta_SekarDangan,100.0,11
Yogyakarta_SekarDhuku,100.0,11
Yogyakarta_SekarDlima,100.0,11
Yogyakarta_SekarDuren,100.0,11
Yogyakarta_SekarGambir,100.0,11
Yogyakarta_SekarGayam,100.0,11
Yogyakarta_SekarJagung,100.0,11
Yogyakarta_SekarJali,100.0,11
Yogyakarta_SekarJeruk,100.0,11
Yogyakarta_SekarKeben,100.0,11
Yogyakarta_SekarKemuning,100.0,11
Yogyakarta_SekarKenanga,100.0,11
Yogyakarta_SekarKenikir,100.0,11
Yogyakarta_SekarKenthang,100.0,11
Yogyakarta_SekarKepel,100.0,11
Yogyakarta_SekarKetongkeng,100.0,11
Yogyakarta_SekarLintang,100.0,11
Yogyakarta_SekarManggis,100.0,11
Yogyakarta_SekarMenur,100.0,11
Yogyakarta_SekarMindi,100.0,11
Yogyakarta_SekarMlathi,100.0,11
Yogyakarta_SekarMrica,100.0,11
Yogyakarta_SekarMundhu,100.0,11
Yogyakarta_SekarNangka,100.0,11
Yogyakarta_SekarPacar,100.0,11
Yogyakarta_SekarPala,100.0,11
Yogyakarta_SekarPijetan,100.0,11
Yogyakarta_SekarPudhak,100.0,11
Yogyakarta_SekarRandhu,100.0,11
Yogyakarta_SekarSawo,100.0,11
Yogyakarta_SekarSoka,100.0,11
Yogyakarta_SekarSrengenge,100.0,11
Yogyakarta_SekarSrigadhing,100.0,11
Yogyakarta_SekarTanjung,100.0,11
Yogyakarta_SekarTebu,100.0,11
