Thread   Start(us)  B/E     Dur(us)  Name/Detail
------  ----------  ---  ----------  ------------------------------
616244     1065621  BEG        4304  AnnotateKernels
616244     1069926  END        4304  AnnotateKernels
616244     1069929  BEG         358  VerifyKernels
616244     1070288  END         358  VerifyKernels
616244     1070289  BEG        4573  LowerSemanticCF
616244     1074862  END        4573  LowerSemanticCF
616244     1074864  BEG       62887  CheckLifetimes
616244     1077009  BEG          11  (A) SymbolTableAnalysis
616244     1077020  END          11  (A) SymbolTableAnalysis
616244     1137752  END       62887  CheckLifetimes
